,ch0_mav,ch0_wl,ch0_rms,ch0_var,ch1_mav,ch1_wl,ch1_rms,ch1_var,ch2_mav,ch2_wl,ch2_rms,ch2_var,ch3_mav,ch3_wl,ch3_rms,ch3_var,ch4_mav,ch4_wl,ch4_rms,ch4_var,label
10,88.632,346,89.76667533110492,202.42457599999992,24.404,97,24.629656920062853,11.06478399999996,50.072,198,50.652226012288935,58.442816,10.58,51,11.036847375949348,9.875599999999995,317.464,1135,325.2413749817203,4998.560704000002,ring
11,90.24,379,99.16104073677323,1689.6543999999997,19.94,91,21.848112046581964,79.73639999999992,39.228,174,43.42713437472015,347.0800159999999,9.944,46,11.027601733831341,22.724863999999968,282.864,1231,304.62391239034406,12783.685504000003,ring
12,62.14,258,70.13977473588007,1058.2084000000002,19.728,76,22.058649097349548,97.39001600000009,30.104,133,34.873026825900844,309.87718399999966,11.58,56,13.719037867139226,54.115600000000015,294.808,1443,353.9023368105953,38335.10713599999,ring
13,108.148,483,118.02218435531518,2233.246096,24.352,113,24.991998719590235,31.580096000000026,57.284,209,60.42426664842528,369.6353439999998,14.864,68,15.659374189283556,24.277504,370.764,1363,384.4745349174637,10354.724303999988,ring
14,120.956,492,127.42422061758903,1606.578064,27.272,121,28.408167839549243,63.26201599999991,51.304,235,54.53600645445172,342.07558400000005,12.172,52,12.404998992341756,5.7264160000000075,345.444,1236,351.1397271742404,3967.5508640000003,ring
15,170.34,806,172.95947502233003,899.2644,42.996,182,44.26334826919446,110.58798399999995,99.316,393,101.45022424815038,428.48014399999977,5.088,25,5.1466493954805195,0.6002559999999996,40.072,187,41.42578906912939,110.33081599999988,pinky
16,203.74,841,211.90183576363845,3392.4004000000004,46.744,192,48.69340817810969,186.04646399999973,116.828,508,123.72642401686068,1659.4464160000002,5.76,25,5.885575587824865,1.4623999999999973,39.888,205,41.71177291844594,148.81945600000003,pinky
17,225.168,922,228.57261428263885,1544.8117760000007,53.648,202,54.29703490983647,70.06009600000002,122.74,495,124.50119678139644,435.44039999999984,6.656,35,6.7337953636860695,1.0416639999999981,41.708,161,43.572697873783305,159.02273600000007,pinky
18,208.304,783,219.1500855578204,4636.203583999999,49.976,185,51.460042751634006,150.53542400000003,109.544,380,110.89710546267652,298.28006400000004,6.76,23,7.163239490621544,5.614400000000011,50.816,223,51.869297276905534,108.15814400000002,pinky
19,174.016,654,205.01878938282704,11751.135744,49.668,177,56.34625098442664,707.989776,116.416,414,134.35514132328544,4498.618944000001,5.792,20,5.978628605290681,2.1967360000000102,53.512,240,56.815913263803125,364.513856,pinky
20,23.68,47,23.918611999863202,11.357599999999993,6.52,11,6.543699259593154,0.3095999999999999,9.45,11,9.59218431849597,2.7075000000000014,2.8,4,2.939387691339814,0.8000000000000002,5.06,12,5.081338406365,0.2164000000000003,baseline
21,30.48,60,30.582674833964408,6.2696000000000005,8.33,23,8.392258337301111,1.0410999999999997,10.77,22,10.793979803575695,0.5171000000000007,3.86,10,3.964845520319802,0.8203999999999995,7.01,15,7.0476946585390605,0.5299000000000007,baseline
22,28.5,50,28.855848627271385,20.41,7.33,9,7.346427703312679,0.24109999999999907,9.63,9,9.685556256612214,1.0730999999999986,1.51,2,1.5905973720586866,0.24990000000000046,6.61,10,6.627971031922213,0.23790000000000014,baseline
23,27.2,42,27.35141678231678,8.259999999999996,7.83,14,7.856844150166147,0.42109999999999964,11.04,18,11.137324633860683,2.1584,0.72,2,0.848528137423857,0.20159999999999978,7.63,12,7.854298186343577,3.473099999999998,baseline
24,29.02,51,29.165047574108293,8.439600000000006,8.32,15,8.44630096551147,2.1175999999999973,10.9,16,10.96813566655701,1.4900000000000007,0.0,0,0.0,0.0,7.04,13,7.05691150575094,0.23839999999999997,baseline
25,25.27,46,25.923541424735934,33.45710000000001,5.32,8,5.346026561849464,0.27759999999999935,6.94,9,7.00713921654194,0.9364000000000007,4.6,6,4.7833042972405595,1.7200000000000017,5.91,8,5.953990258641679,0.5218999999999995,baseline
26,22.85,36,22.89257521555843,1.9474999999999978,7.57,7,7.619055059520177,0.7450999999999993,7.68,18,7.764019577512669,1.2976000000000019,1.68,6,1.8920887928424501,0.7576000000000017,6.56,17,6.593936608733815,0.4464000000000006,baseline
27,24.9,50,25.091034255287283,9.549999999999995,7.08,16,7.103520254071216,0.3335999999999995,8.67,10,8.698850498772812,0.5010999999999997,2.41,5,2.479919353527449,0.3418999999999997,5.35,8,5.469003565550127,1.2874999999999994,baseline
28,23.17,42,23.269937687926884,4.641099999999998,7.96,21,7.996249120681521,0.578400000000001,9.67,17,9.69587541174081,0.5010999999999993,2.4,7,2.8035691537752374,2.1,5.48,7,5.5874860178795975,1.1896000000000004,baseline
29,24.99,41,25.087247756579437,4.869899999999999,6.35,11,6.375735251718032,0.3274999999999996,8.3,21,8.42852300228219,2.15,2.07,3,2.1977260975835913,0.5450999999999993,6.34,10,6.867313885355758,6.964399999999999,baseline
30,27.54,41,27.673452982958235,7.368400000000003,6.14,4,6.156297588648554,0.20040000000000052,9.12,11,9.1706052144883,0.9255999999999998,4.95,10,4.984977432245807,0.34749999999999936,5.8,10,5.822370651203855,0.2600000000000002,baseline
31,22.4,26,22.4610774452162,2.7400000000000073,6.46,6,6.528399497579786,0.8883999999999994,9.32,21,9.341306118525397,0.39760000000000045,3.35,9,3.383784863137726,0.2274999999999995,15.28,19,15.362291495737216,2.521599999999999,baseline
32,20.42,39,20.636860226303806,8.9036,5.91,11,6.002499479383568,1.1018999999999997,9.04,9,9.118113840043893,1.4184000000000005,3.18,4,3.2924155266308657,0.7276000000000008,6.92,11,6.971370023173351,0.7136000000000001,baseline
33,21.43,48,21.73913521739078,13.345100000000004,5.54,22,5.598214000911362,0.6483999999999994,7.19,17,7.247758274114831,0.8339000000000002,3.74,2,3.765634076752546,0.19239999999999996,4.16,8,4.197618372363071,0.31440000000000057,baseline
34,34.26,66,34.62860089579133,25.392400000000006,6.78,8,6.795586803212803,0.21160000000000012,11.06,13,11.073391531053167,0.2963999999999998,2.49,2,2.539685019840059,0.2499000000000004,5.02,8,5.0931326312987375,0.7395999999999995,baseline
35,25.21,40,25.25529647420517,2.2858999999999994,9.97,15,10.694391053257778,14.969099999999985,11.05,16,11.336225121265015,6.407499999999999,2.23,7,2.2693611435820435,0.17710000000000004,8.83,19,8.885381252371786,0.981099999999999,baseline
36,23.83,53,24.519584009521857,33.341100000000004,6.44,7,6.514598989960932,0.9664000000000015,8.95,18,9.152595260361949,3.6675000000000004,2.12,5,2.1447610589527217,0.10559999999999997,9.92,14,10.342146779078316,8.553599999999994,baseline
37,27.82,48,28.179425118337672,20.1276,14.21,24,14.646842663181713,12.605900000000018,21.32,35,21.81788257370545,21.477600000000017,6.62,9,7.0398863627192165,5.7356000000000025,16.06,32,17.619307591389624,52.51639999999994,baseline
38,29.58,57,29.755335655979415,10.403599999999999,8.84,9,8.861151166750288,0.3744000000000003,16.11,22,16.142180769648196,1.0378999999999996,3.41,2,3.4452866353904428,0.24189999999999967,7.61,12,7.667463726683029,0.8779000000000002,baseline
